Label,Qubits,Iteration,Mitigation_Method,Abs_Error,Exp_Value,Ideal_Value,Circuit_Density,H_ZNE_Score,Max_Readout_Err,Estimator_Options,Job_ID
15q,15,2,Default_IBM_Est.,0.795886076,-0.204113924,-1,0.139259259,0.46289189,0.01965332,None,d4sm7vrher1c73bdftng
15q,15,3,Default_IBM_Est.,0.692153522,-0.307846478,-1,0.139259259,0.46289189,0.01965332,None,d4sm81c5fjns73d2k0n0
30q,30,1,Adaptive_Est.,0.926191697,0.073808303,1,0.070925926,1.698304224,0.044921875,"EstimatorOptions(_VERSION=2, max_execution_time=Unset, environment=EnvironmentOptions(log_level='WARNING', job_tags=None, private=False), simulator=SimulatorOptions(noise_model=Unset, seed_simulator=Unset, coupling_map=Unset, basis_gates=Unset), default_precision=Unset, default_shots=None, resilience_level=1, seed_estimator=Unset, dynamical_decoupling=DynamicalDecouplingOptions(enable=False, sequence_type=Unset, extra_slack_distribution=Unset, scheduling_method=Unset, skip_reset_qubits=Unset), resilience=ResilienceOptionsV2(measure_mitigation=True, measure_noise_learning=MeasureNoiseLearningOptions(num_randomizations=32, shots_per_randomization=4096), zne_mitigation=False, zne=ZneOptions(amplifier=Unset, noise_factors=Unset, extrapolator=Unset, extrapolated_noise_factors=Unset), pec_mitigation=Unset, pec=PecOptions(max_overhead=Unset, noise_gain=Unset), layer_noise_learning=LayerNoiseLearningOptions(max_layers_to_learn=Unset, shots_per_randomization=Unset, num_randomizations=Unset, layer_pair_depths=Unset), layer_noise_model=Unset), execution=ExecutionOptionsV2(init_qubits=Unset, rep_delay=Unset), twirling=TwirlingOptions(enable_gates=False, enable_measure=True, num_randomizations=32, shots_per_randomization=128, strategy=Unset), experimental=Unset)",d4sm7vbher1c73bdftmg
30q,30,2,Adaptive_Est.,0.91868022,0.08131978,1,0.070925926,1.698304224,0.044921875,"EstimatorOptions(_VERSION=2, max_execution_time=Unset, environment=EnvironmentOptions(log_level='WARNING', job_tags=None, private=False), simulator=SimulatorOptions(noise_model=Unset, seed_simulator=Unset, coupling_map=Unset, basis_gates=Unset), default_precision=Unset, default_shots=None, resilience_level=1, seed_estimator=Unset, dynamical_decoupling=DynamicalDecouplingOptions(enable=False, sequence_type=Unset, extra_slack_distribution=Unset, scheduling_method=Unset, skip_reset_qubits=Unset), resilience=ResilienceOptionsV2(measure_mitigation=True, measure_noise_learning=MeasureNoiseLearningOptions(num_randomizations=32, shots_per_randomization=4096), zne_mitigation=False, zne=ZneOptions(amplifier=Unset, noise_factors=Unset, extrapolator=Unset, extrapolated_noise_factors=Unset), pec_mitigation=Unset, pec=PecOptions(max_overhead=Unset, noise_gain=Unset), layer_noise_learning=LayerNoiseLearningOptions(max_layers_to_learn=Unset, shots_per_randomization=Unset, num_randomizations=Unset, layer_pair_depths=Unset), layer_noise_model=Unset), execution=ExecutionOptionsV2(init_qubits=Unset, rep_delay=Unset), twirling=TwirlingOptions(enable_gates=False, enable_measure=True, num_randomizations=32, shots_per_randomization=128, strategy=Unset), experimental=Unset)",d4sm80s5fjns73d2k0m0
30q,30,3,Adaptive_Est.,0.826290296,0.173709704,1,0.070925926,1.698304224,0.044921875,"EstimatorOptions(_VERSION=2, max_execution_time=Unset, environment=EnvironmentOptions(log_level='WARNING', job_tags=None, private=False), simulator=SimulatorOptions(noise_model=Unset, seed_simulator=Unset, coupling_map=Unset, basis_gates=Unset), default_precision=Unset, default_shots=None, resilience_level=1, seed_estimator=Unset, dynamical_decoupling=DynamicalDecouplingOptions(enable=False, sequence_type=Unset, extra_slack_distribution=Unset, scheduling_method=Unset, skip_reset_qubits=Unset), resilience=ResilienceOptionsV2(measure_mitigation=True, measure_noise_learning=MeasureNoiseLearningOptions(num_randomizations=32, shots_per_randomization=4096), zne_mitigation=False, zne=ZneOptions(amplifier=Unset, noise_factors=Unset, extrapolator=Unset, extrapolated_noise_factors=Unset), pec_mitigation=Unset, pec=PecOptions(max_overhead=Unset, noise_gain=Unset), layer_noise_learning=LayerNoiseLearningOptions(max_layers_to_learn=Unset, shots_per_randomization=Unset, num_randomizations=Unset, layer_pair_depths=Unset), layer_noise_model=Unset), execution=ExecutionOptionsV2(init_qubits=Unset, rep_delay=Unset), twirling=TwirlingOptions(enable_gates=False, enable_measure=True, num_randomizations=32, shots_per_randomization=128, strategy=Unset), experimental=Unset)",d4sm82c5fjns73d2k0pg
30q,30,1,Default_IBM_Est.,0.996305703,0.003694297,1,0.070925926,1.698304224,0.044921875,None,d4sm7ucfitbs739j4fg0
30q,30,2,Default_IBM_Est.,1.019538188,-0.019538188,1,0.070925926,1.698304224,0.044921875,None,d4sm7vrher1c73bdftng
30q,30,3,Default_IBM_Est.,1.021922813,-0.021922813,1,0.070925926,1.698304224,0.044921875,None,d4sm81c5fjns73d2k0n0
45q,45,1,Adaptive_Est.,1.03866171,0.03866171,-1,0.047572016,3.89208285,0.110717773,"EstimatorOptions(_VERSION=2, max_execution_time=Unset, environment=EnvironmentOptions(log_level='WARNING', job_tags=None, private=False), simulator=SimulatorOptions(noise_model=Unset, seed_simulator=Unset, coupling_map=Unset, basis_gates=Unset), default_precision=Unset, default_shots=None, resilience_level=1, seed_estimator=Unset, dynamical_decoupling=DynamicalDecouplingOptions(enable=False, sequence_type=Unset, extra_slack_distribution=Unset, scheduling_method=Unset, skip_reset_qubits=Unset), resilience=ResilienceOptionsV2(measure_mitigation=True, measure_noise_learning=MeasureNoiseLearningOptions(num_randomizations=32, shots_per_randomization=4096), zne_mitigation=False, zne=ZneOptions(amplifier=Unset, noise_factors=Unset, extrapolator=Unset, extrapolated_noise_factors=Unset), pec_mitigation=Unset, pec=PecOptions(max_overhead=Unset, noise_gain=Unset), layer_noise_learning=LayerNoiseLearningOptions(max_layers_to_learn=Unset, shots_per_randomization=Unset, num_randomizations=Unset, layer_pair_depths=Unset), layer_noise_model=Unset), execution=ExecutionOptionsV2(init_qubits=Unset, rep_delay=Unset), twirling=TwirlingOptions(enable_gates=False, enable_measure=True, num_randomizations=32, shots_per_randomization=128, strategy=Unset), experimental=Unset)",d4sm7vk5fjns73d2k0kg
45q,45,2,Adaptive_Est.,0.928595949,-0.071404051,-1,0.047572016,3.89208285,0.110717773,"EstimatorOptions(_VERSION=2, max_execution_time=Unset, environment=EnvironmentOptions(log_level='WARNING', job_tags=None, private=False), simulator=SimulatorOptions(noise_model=Unset, seed_simulator=Unset, coupling_map=Unset, basis_gates=Unset), default_precision=Unset, default_shots=None, resilience_level=1, seed_estimator=Unset, dynamical_decoupling=DynamicalDecouplingOptions(enable=False, sequence_type=Unset, extra_slack_distribution=Unset, scheduling_method=Unset, skip_reset_qubits=Unset), resilience=ResilienceOptionsV2(measure_mitigation=True, measure_noise_learning=MeasureNoiseLearningOptions(num_randomizations=32, shots_per_randomization=4096), zne_mitigation=False, zne=ZneOptions(amplifier=Unset, noise_factors=Unset, extrapolator=Unset, extrapolated_noise_factors=Unset), pec_mitigation=Unset, pec=PecOptions(max_overhead=Unset, noise_gain=Unset), layer_noise_learning=LayerNoiseLearningOptions(max_layers_to_learn=Unset, shots_per_randomization=Unset, num_randomizations=Unset, layer_pair_depths=Unset), layer_noise_model=Unset), execution=ExecutionOptionsV2(init_qubits=Unset, rep_delay=Unset), twirling=TwirlingOptions(enable_gates=False, enable_measure=True, num_randomizations=32, shots_per_randomization=128, strategy=Unset), experimental=Unset)",d4sm813her1c73bdftp0
45q,45,1,Default_IBM_Est.,1.004728132,0.004728132,-1,0.047572016,3.89208285,0.110717773,None,d4sm7ucfitbs739j4fg0
45q,45,2,Default_IBM_Est.,1.043862321,0.043862321,-1,0.047572016,3.89208285,0.110717773,None,d4sm7vrher1c73bdftng
45q,45,3,Default_IBM_Est.,1.043230261,0.043230261,-1,0.047572016,3.89208285,0.110717773,None,d4sm81c5fjns73d2k0n0
